Taxonomy ID (NCBI Taxonomy),Scientific Name,Pathogenic Sub-classification,Rank
470,Acinetobacter baumannii,Bacteria,Species
287,Pseudomonas aeruginosa,Bacteria,Species
543,Enterobacteriaceae,Bacteria,Family
1352,Enterococcus faecium,Bacteria,Species
1280,Staphylococcus aureus,Bacteria,Species
210,Helicobacter pylori,Bacteria,Species
194,Campylobacter,Bacteria,Genus
590,Salmonella,Bacteria,Genus
485,Neisseria gonorrhoeae,Bacteria,Species
1313,Streptococcus pneumoniae,Bacteria,Species
727,Haemophilus influenzae,Bacteria,Species
620,Shigella,Bacteria,Genus
1980519,Crimean-Congo hemorrhagic fever orthonairovirus,Virus,Species
1570291,Ebola virus,Virus,
11269,Marburg marburgvirus,Virus,Species
11620,Lassa mammarenavirus,Virus,Species
121791,Nipah henipavirus,Virus,Species
260964,Henipavirus,Virus,Genus
11588,Rift Valley fever virus,Virus,
64320,Zika virus,Virus,Species
10244,Monkeypox virus,Virus,Species
5207,Cryptococcus neoformans,Fungi,Species
498019,Candida auris,Fungi,Species
5476,Candida albicans,Fungi,Species
746128,Aspergillus fumigatus,Fungi,Species
5478,Nakaseomyces glabratus,Fungi,Species
5036,Histoplasma,Fungi,Genus
142796,Eumycetozoa,Eukaryote,Class
4827,Mucorales,Fungi,Order
5506,Fusarium,Fungi,Genus
5482,Candida tropicalis,Fungi,Species
5480,Candida parapsilosis,Fungi,Species
41687,Scedosporium,Fungi,Genus
1884637,Cryptococcus gattii species complex,Fungi,Species Group
41688,Lomentospora prolificans,Fungi,Species
37727,Talaromyces marneffei,Fungi,Species
5500,Coccidioides,Fungi,Genus
42068,Pneumocystis jirovecii,Fungi,Species
4909,Pichia kudriavzevii,Fungi,Species
38946,Paracoccidioides,Fungi,Genus